Weg::N
ron	19
oss	27
ale	32
ita	2
nld	2
mnc	17
vep	9
hrv	7
ady	17
nor	2
fin	9
eus	2
kmr	6
mns	32
kca	21
dan	2
ces	5
dar	22
hin	8
pbu	23
cmn	30
hye	38
kpv	10
mhr	20
bak	21
tel	8
mdf	26
olo	9
arb	39
sel	34
ess	19
abk	33
sms	3
pes	17
smn	30
ddo	22
smj	20
sme	20
evn	7
sma	20
tur	21
rus	17
lez	6
ket	14
yux	3
ekk	9
ell	19
gld	7
gle	12
krl	9
isl	2
sjd	3
uzn	21
kat	1
por	20
pol	17
bre	22
koi	10
fra	31
yrk	29
che	6
swe	2
ukr	12
xal	24
chv	23
kor	26
heb	25
hun	7
bul	7
bua	1
cym	11
udm	16
azj	21
ben	7
bel	12
slv	7
deu	2
cat	20
ain	19
slk	5
tat	21
sah	21
jpn	4
myv	26
khk	28
lbe	30
spa	20
tam	2
ava	38
enf	13
eng	2
lit	26
liv	18
nio	37
kan	22
kal	15
sqi	35
bsk	1
lat	25
kaz	21
lav	5
niv	9
mal	2
ckt	36
mrj	20
