Welle::N
itl	22
ron	1
oss	1
ale	11
ita	15
nld	1
mnc	7
ell	11
hrv	1
ady	1
ess	1
hin	16
fin	1
eus	20
smj	2
mns	13
kca	13
dan	1
ces	1
dar	12
nor	1
pbu	8
cmn	1
hye	1
evn	23
mhr	7
bak	7
tel	1
mdf	7
olo	4
arb	8
sel	13
ykg	17
abk	10
sms	2
pes	8
smn	2
ddo	1
kmr	1
sme	2
sma	2
tur	7
kpv	23
rus	1
lez	1
ket	24
yux	1
ekk	4
vep	1
gld	1
gle	7
krl	4
isl	1
sjd	19
uzn	7
bsk	21
por	15
pol	1
bre	20
koi	23
fra	1
yrk	9
che	7
swe	1
ukr	1
xal	7
chv	13
kor	1
heb	1
hun	20
bul	1
bua	7
cym	7
udm	7
azj	7
ben	16
bel	1
slv	1
deu	1
cat	15
ain	3
slk	1
tat	7
sah	7
jpn	19
myv	7
khk	7
lbe	6
tam	1
spa	15
ava	18
enf	9
eng	25
lit	1
liv	4
nio	16
kan	1
kal	1
sqi	1
kat	7
lat	15
kaz	7
lav	1
niv	14
mal	11
ckt	26
mrj	3
