Winkel::N
ron	2
oss	1
mns	16
ita	9
nld	21
mnc	29
vep	16
hrv	2
ady	17
ess	2
nor	9
fin	1
eus	6
kmr	5
ale	17
kca	3
dan	9
ces	2
dar	13
hin	5
pbu	2
cmn	40
hye	9
kpv	15
mhr	21
bak	10
tel	5
mdf	24
olo	28
arb	35
sel	38
ykg	4
abk	32
sms	23
pes	5
smn	6
ddo	33
smj	23
sme	4
evn	5
sma	2
tur	22
rus	3
lez	11
ket	17
ekk	20
ell	5
gld	5
gle	39
krl	1
isl	37
sjd	3
uzn	22
kat	2
por	2
pol	5
koi	15
fra	34
yrk	3
che	16
swe	9
ukr	2
xal	14
chv	2
kor	2
heb	36
hun	7
bul	2
bua	3
cym	5
udm	7
azj	4
ben	5
bel	3
slv	2
deu	9
cat	6
ain	6
slk	2
tat	18
sah	20
jpn	30
myv	24
khk	31
lbe	20
tam	5
spa	9
enf	3
eng	9
lit	15
liv	20
nio	16
kan	5
kal	19
sqi	5
bsk	5
lat	9
kaz	10
lav	25
niv	8
mal	5
ckt	12
mrj	21
