Wurzel::N
itl	36
ron	14
oss	13
mns	6
ita	14
nld	4
mnc	6
ell	2
hrv	9
ady	40
hin	46
fin	1
eus	29
smj	19
ale	47
kca	32
dan	15
ces	9
dar	48
nor	15
hye	43
pbu	21
cmn	9
evn	36
kpv	17
mhr	17
bak	6
tel	16
mdf	5
olo	1
arb	34
sel	9
ykg	4
abk	42
sms	7
pes	21
smn	7
ddo	4
kmr	10
sme	19
sma	19
tur	30
rus	9
lez	37
ket	6
yux	4
ekk	1
vep	1
gld	41
gle	25
krl	1
isl	15
sjd	7
uzn	6
bsk	38
por	21
pol	9
kaz	6
bre	2
koi	17
fra	39
yrk	27
che	11
swe	15
ukr	9
xal	23
heb	33
kor	1
chv	6
hun	31
bul	9
bua	35
cym	2
udm	17
azj	30
ben	9
bel	9
slv	9
deu	4
cat	10
ain	20
slk	9
tat	6
sah	44
jpn	26
myv	1
khk	5
lbe	22
tam	16
spa	21
ava	24
enf	27
eng	15
lit	28
liv	1
nio	27
kan	16
kal	3
sqi	14
kat	45
lat	21
ess	18
lav	28
niv	13
mal	16
ckt	12
mrj	17
