Zaun::N
ron	4
oss	12
ale	4
ita	27
nld	35
mnc	33
vep	3
hrv	18
ady	15
hin	12
fin	3
eus	40
kmr	4
mns	43
kca	32
dan	37
ces	18
dar	32
nor	32
pbu	6
cmn	42
hye	21
evn	4
mhr	8
bak	34
tel	1
mdf	13
olo	3
arb	41
sel	4
ess	19
abk	3
sms	17
pes	40
smn	3
ddo	46
smj	32
sme	3
sma	7
tur	27
kpv	43
rus	8
lez	12
ket	4
yux	1
ekk	3
ell	45
gld	2
gle	16
krl	3
isl	21
sjd	3
uzn	12
kat	30
por	47
pol	18
bre	16
koi	8
fra	16
yrk	44
che	4
swe	21
ukr	12
xal	11
heb	4
kor	21
chv	36
hun	4
bul	4
bua	11
cym	39
udm	8
azj	26
ben	12
bel	4
slv	4
deu	10
cat	21
ain	10
slk	18
tat	34
sah	18
jpn	7
myv	13
khk	11
lbe	28
spa	11
tam	5
ava	20
enf	4
eng	39
lit	6
liv	6
nio	22
kan	5
kal	18
sqi	4
bsk	11
lat	25
kaz	22
lav	24
niv	38
mal	5
ckt	31
mrj	8
