Zunge::N
itl	24
ron	2
oss	2
mns	14
ita	6
nld	12
mnc	6
ell	8
hrv	2
ady	2
nor	12
fin	9
eus	5
smj	7
ale	17
kca	14
dan	12
ces	2
dar	15
hin	23
pbu	21
cmn	13
hye	2
kpv	10
mhr	19
bak	4
tel	11
mdf	9
olo	9
arb	8
sel	13
ykg	17
abk	15
sms	7
pes	23
smn	7
ddo	1
kmr	23
sme	7
evn	24
sma	7
tur	4
rus	2
lez	15
ket	2
yux	17
ekk	9
vep	9
gld	27
gle	12
krl	9
isl	12
sjd	7
uzn	4
kat	17
por	6
pol	2
kaz	4
bre	4
koi	10
fra	6
yrk	14
che	1
swe	12
ukr	2
xal	9
heb	8
kor	13
chv	24
hun	14
bul	2
bua	6
cym	30
udm	9
azj	4
ben	21
bel	2
slv	2
deu	12
cat	6
ain	16
slk	2
tat	4
sah	4
jpn	13
myv	9
khk	9
lbe	15
tam	11
spa	6
ava	1
enf	14
eng	12
lit	22
liv	9
nio	20
kan	11
kal	25
sqi	24
bsk	26
lat	6
ess	19
lav	3
niv	18
mal	11
ckt	29
mrj	19
