Zweig::N
itl	1
ron	14
oss	21
mns	17
ita	2
nld	46
mnc	2
ell	38
hrv	14
ady	23
nor	6
fin	14
eus	15
smj	32
ale	24
kca	19
dan	6
ces	6
dar	5
hin	36
hye	24
pbu	4
cmn	14
evn	14
kpv	33
mhr	23
bak	23
tel	42
mdf	39
olo	32
arb	26
sel	13
ykg	34
abk	35
sms	13
pes	1
smn	13
ddo	14
kmr	7
sme	10
sma	32
tur	7
rus	6
lez	9
ket	31
yux	7
ekk	32
vep	32
gld	14
gle	18
krl	19
isl	6
sjd	10
uzn	20
bsk	14
por	21
pol	29
bre	20
koi	17
fra	2
yrk	45
che	14
swe	6
ukr	21
xal	37
heb	14
kor	11
chv	39
hun	14
bul	8
bua	27
cym	11
udm	3
azj	20
ben	7
bel	21
slv	3
deu	43
cat	2
ain	22
slk	3
tat	20
sah	19
jpn	41
myv	39
khk	7
lbe	5
tam	14
spa	2
ava	9
enf	4
eng	44
lit	1
liv	32
nio	2
kan	30
kal	25
sqi	16
kat	17
lat	2
kaz	20
lav	40
niv	12
mal	1
ckt	15
mrj	32
