allein::ADV
ron	7
oss	7
mns	8
ita	12
nld	4
mnc	2
vep	2
hrv	5
ady	41
nor	4
fin	2
eus	21
kmr	14
ale	15
kca	23
dan	4
ces	5
dar	18
hin	9
pbu	13
cmn	14
hye	39
kpv	6
mhr	1
bak	13
tel	6
mdf	25
olo	2
arb	36
sel	9
ykg	2
abk	24
sms	1
pes	14
smn	1
ddo	12
smj	1
sme	1
evn	2
sma	28
tur	30
rus	4
lez	38
ket	1
yux	4
ekk	2
ell	25
gld	26
gle	4
krl	2
isl	4
sjd	1
uzn	23
kat	2
por	5
pol	5
bre	12
fra	12
yrk	12
che	31
swe	4
ukr	5
xal	24
heb	22
kor	3
chv	32
hun	40
bul	5
bua	7
cym	29
udm	13
azj	13
ben	34
bel	4
slv	5
deu	4
cat	12
ain	33
slk	5
tat	13
sah	1
jpn	43
myv	25
khk	24
lbe	13
tam	20
spa	12
ava	13
enf	12
eng	4
lit	27
liv	2
nio	12
kan	27
kal	16
sqi	26
bsk	14
lat	12
kaz	11
lav	27
mal	42
ckt	33
mrj	1
