alt[Lebewesen]::A
itl	21
ron	1
oss	18
ale	27
ita	52
nld	39
mnc	15
ell	1
hrv	8
ady	5
ess	11
nor	23
fin	2
eus	29
kmr	1
mns	51
kca	47
dan	23
ces	8
dar	2
hin	1
pbu	32
cmn	20
hye	8
evn	10
mhr	16
bak	22
tel	24
mdf	8
olo	2
arb	24
sel	4
ykg	9
abk	18
sms	1
pes	1
smn	1
ddo	5
smj	1
sme	1
sma	1
tur	28
kpv	1
rus	5
lez	22
ket	22
yux	42
ekk	2
vep	36
gld	10
gle	8
krl	2
isl	23
sjd	1
uzn	22
kat	40
por	26
pol	8
bre	3
koi	25
fra	5
yrk	50
che	2
swe	23
ukr	8
xal	13
chv	12
kor	6
heb	13
hun	18
bul	8
bua	31
cym	17
udm	1
azj	25
ben	2
bel	8
slv	8
deu	46
cat	26
ain	33
slk	8
tat	22
sah	35
jpn	45
myv	8
khk	37
lbe	49
tam	2
spa	19
ava	4
enf	34
eng	41
lit	30
liv	2
nio	19
kan	2
kal	11
sqi	44
bsk	14
lat	12
kaz	13
lav	12
niv	38
mal	28
ckt	6
mrj	20
