atmen::V
itl	22
ron	26
oss	18
mns	21
ita	26
nld	7
mnc	29
vep	1
hrv	2
ady	45
nor	4
fin	1
eus	17
kmr	27
ale	1
kca	21
dan	6
ces	2
dar	12
hin	15
pbu	31
cmn	20
hye	33
kpv	4
mhr	14
bak	5
tel	47
mdf	6
olo	1
arb	39
sel	34
ykg	26
abk	32
sms	11
pes	39
smn	11
ddo	14
smj	11
sme	11
evn	25
sma	11
tur	28
rus	2
lez	28
ket	3
ekk	1
ell	48
gld	25
gle	5
krl	1
isl	6
sjd	11
uzn	28
kat	44
por	26
pol	2
bre	42
koi	6
fra	26
yrk	9
che	7
swe	6
ukr	2
xal	23
chv	8
kor	8
heb	2
hun	36
bul	2
bua	23
cym	5
udm	4
azj	28
ben	31
bel	2
slv	2
deu	7
cat	26
ain	12
slk	2
tat	8
sah	5
jpn	10
myv	40
khk	23
lbe	15
spa	26
tam	16
ava	46
enf	13
eng	24
lit	21
liv	1
nio	22
kan	43
kal	41
sqi	37
bsk	7
lat	26
kaz	21
lav	3
niv	30
mal	19
ckt	35
mrj	14
