aufstehen::V
ron	31
oss	20
ale	42
ita	30
nld	20
mnc	33
vep	11
hrv	27
ady	53
hin	20
fin	11
eus	19
smj	41
mns	34
kca	34
dan	8
ces	27
dar	52
nor	8
pbu	38
cmn	29
hye	1
evn	33
ykg	54
mhr	47
bak	24
tel	46
mdf	10
olo	11
arb	12
sel	48
ess	35
abk	26
sms	21
pes	28
smn	5
ddo	40
kmr	39
sme	41
sma	5
tur	15
kpv	29
rus	27
lez	39
yux	50
ekk	12
ell	22
gld	24
gle	24
krl	11
isl	44
sjd	16
uzn	12
kat	55
por	30
pol	27
bre	13
koi	20
fra	13
yrk	32
che	18
swe	8
ukr	27
xal	51
chv	24
kor	37
heb	12
hun	1
bul	20
bua	23
cym	16
udm	20
azj	45
ben	19
bel	27
slv	27
deu	20
cat	30
ain	49
slk	27
tat	24
sah	24
jpn	24
myv	10
khk	51
lbe	40
spa	30
tam	25
ava	43
enf	50
eng	18
lit	3
liv	11
nio	14
kan	1
kal	12
sqi	9
bsk	2
lat	36
kaz	6
lav	3
niv	17
mal	25
ckt	4
mrj	47
