auswählen::V
ron	7
oss	15
mns	27
ita	3
nld	43
mnc	40
ell	3
hrv	4
ady	29
hin	10
fin	23
eus	13
smj	10
ale	11
dan	23
ces	4
dar	20
nor	23
pbu	12
cmn	1
hye	32
kpv	15
mhr	21
bak	19
tel	30
mdf	16
olo	23
arb	12
sel	12
ess	6
abk	48
sms	23
pes	9
smn	23
ddo	23
kmr	15
sme	23
evn	40
sma	23
tur	48
rus	4
lez	2
ket	3
ekk	23
vep	23
gld	45
gle	39
krl	23
isl	23
sjd	23
uzn	19
bsk	11
por	7
pol	4
bre	44
koi	15
fra	7
yrk	21
che	22
swe	23
ukr	4
xal	3
heb	14
kor	26
chv	19
hun	23
bul	4
bua	3
cym	31
udm	15
azj	24
ben	4
bel	4
slv	4
deu	23
cat	17
ain	38
slk	23
tat	19
sah	42
jpn	14
myv	16
khk	3
lbe	36
spa	17
tam	34
ava	35
enf	21
eng	7
lit	33
liv	23
nio	10
kan	41
sqi	22
kat	8
lat	3
kaz	19
lav	23
niv	5
mal	46
ckt	47
mrj	24
