behindern::V
ron	8
oss	67
mns	9
ita	1
nld	2
mnc	4
ell	1
hrv	41
ady	22
nor	2
fin	8
eus	27
smj	66
ale	43
kca	59
dan	2
ces	14
dar	55
hin	57
pbu	13
cmn	4
hye	61
evn	29
mhr	42
bak	20
tel	39
mdf	40
olo	8
arb	56
sel	17
ykg	47
abk	52
sms	26
pes	13
smn	2
ddo	49
kmr	22
sme	8
sma	2
tur	3
kpv	24
rus	12
lez	54
ekk	17
vep	17
gle	72
krl	8
isl	32
sjd	19
uzn	37
por	1
pol	28
bre	11
koi	24
fra	25
yrk	44
che	58
swe	2
ukr	14
xal	48
heb	13
kor	53
chv	36
hun	51
bul	73
bua	48
cym	70
udm	24
azj	3
ben	22
bel	14
slv	65
deu	2
cat	62
ain	16
slk	8
tat	60
sah	2
jpn	35
myv	30
khk	64
lbe	23
tam	33
spa	62
ava	63
eng	2
lit	28
liv	38
nio	11
kan	68
sqi	50
kat	6
lat	1
kaz	5
lav	10
mal	71
ckt	15
mrj	2
