bekannt::A
ron	3
oss	7
mns	4
ita	14
nld	25
mnc	37
vep	10
hrv	8
ady	7
hin	1
fin	10
eus	22
smj	12
ale	26
kca	13
dan	25
ces	7
dar	43
nor	25
pbu	27
cmn	16
hye	2
kpv	6
mhr	1
bak	2
tel	35
mdf	5
olo	10
arb	1
sel	32
ykg	23
abk	45
sms	6
pes	27
smn	12
ddo	41
kmr	17
sme	10
evn	17
sma	12
tur	11
rus	7
lez	15
yux	31
ekk	6
ell	14
gld	17
gle	44
krl	10
isl	3
sjd	6
uzn	1
kat	11
por	3
pol	7
kaz	2
bre	39
koi	6
fra	3
yrk	4
che	21
swe	25
ukr	7
xal	6
chv	1
kor	16
heb	31
hun	18
bul	8
bua	2
cym	30
udm	6
azj	2
ben	15
bel	7
slv	7
deu	25
cat	3
slk	7
tat	2
sah	11
jpn	40
myv	5
khk	2
lbe	31
spa	3
tam	42
ava	38
enf	6
eng	9
lit	7
liv	10
nio	32
kan	29
sqi	28
bsk	29
lat	14
ess	34
lav	20
niv	33
mal	15
ckt	24
mrj	1
