berühmt::A
itl	40
ron	17
oss	17
mns	9
ita	19
nld	11
mnc	47
vep	14
hrv	9
ady	17
nor	11
fin	26
eus	28
smj	4
ale	50
kca	5
dan	11
ces	9
dar	4
hin	32
pbu	4
cmn	9
hye	37
kpv	46
mhr	6
bak	1
tel	44
mdf	20
olo	26
arb	4
sel	17
ykg	33
abk	49
sms	51
pes	4
smn	23
ddo	4
kmr	49
sme	23
evn	2
sma	23
tur	34
rus	17
lez	4
ekk	36
ell	19
gld	12
gle	9
krl	26
isl	41
sjd	39
uzn	4
kat	31
por	22
pol	9
bre	11
fra	22
yrk	7
che	29
swe	11
ukr	9
xal	42
chv	35
kor	7
heb	4
hun	15
bul	28
bua	16
cym	30
udm	1
azj	4
ben	11
bel	9
slv	9
deu	11
cat	19
ain	25
slk	40
tat	1
sah	48
jpn	7
myv	20
khk	5
lbe	4
spa	22
tam	27
ava	4
enf	14
eng	19
lit	19
liv	2
nio	17
kan	32
kal	13
sqi	19
bsk	4
lat	22
kaz	1
lav	9
mal	24
ckt	10
mrj	6
