betrügen::V
ron	29
oss	20
mns	44
ita	10
nld	5
mnc	6
ell	7
hrv	58
ady	3
hin	19
fin	18
eus	66
smj	18
ale	64
kca	7
dan	5
ces	1
dar	54
nor	5
pbu	57
cmn	32
hye	3
evn	59
mhr	55
bak	8
tel	63
mdf	24
olo	18
arb	25
sel	55
abk	17
sms	31
pes	42
smn	27
ddo	9
kmr	3
sme	18
sma	18
tur	8
kpv	68
rus	47
lez	37
ekk	34
vep	21
gld	23
gle	65
krl	21
isl	45
sjd	18
uzn	53
bsk	32
por	5
pol	36
bre	41
koi	51
fra	10
yrk	5
che	42
swe	5
ukr	40
xal	15
chv	55
kor	39
heb	70
hun	31
bul	4
bua	15
cym	19
udm	32
azj	8
ben	67
bel	22
slv	58
deu	5
cat	69
ain	56
slk	33
tat	26
sah	46
jpn	30
myv	11
khk	12
lbe	48
spa	14
tam	35
ava	9
enf	60
eng	31
lit	7
liv	52
nio	50
kan	2
kal	62
sqi	7
kat	21
lat	10
kaz	8
lav	7
niv	1
mal	49
ckt	38
mrj	47
