beugen::V
itl	46
ron	11
oss	18
mns	7
ita	9
nld	14
mnc	59
vep	5
hrv	38
hin	9
fin	10
eus	15
smj	31
ale	9
kca	15
dan	14
ces	58
dar	57
nor	14
hye	53
pbu	25
cmn	21
kpv	2
evn	28
mhr	36
bak	6
tel	22
mdf	12
olo	19
arb	35
sel	12
ess	4
abk	1
sms	23
pes	29
smn	31
ddo	14
kmr	40
sme	31
sma	31
tur	13
rus	37
lez	49
ket	3
yux	50
ekk	17
ell	33
gld	51
gle	59
krl	10
isl	14
sjd	31
uzn	8
kat	60
por	11
pol	22
kaz	14
bre	6
koi	2
fra	6
yrk	21
che	55
swe	14
ukr	58
xal	30
heb	52
kor	5
chv	15
hun	26
bul	6
bua	30
cym	6
udm	5
azj	13
ben	24
bel	37
slv	43
deu	14
cat	6
ain	44
slk	58
tat	14
sah	54
jpn	14
myv	12
khk	6
lbe	35
tam	20
spa	9
ava	32
enf	16
eng	14
lit	27
liv	48
nio	12
kan	6
kal	39
sqi	14
bsk	16
lat	27
ykg	3
lav	27
niv	22
mal	45
ckt	41
mrj	36
