blind::A
itl	11
ron	2
oss	2
ale	21
ita	40
nld	3
mnc	2
ell	26
hrv	13
ady	14
hin	3
fin	2
eus	38
kmr	2
mns	27
kca	13
dan	3
ces	13
dar	2
nor	3
pbu	3
cmn	32
hye	2
kpv	34
ykg	16
mhr	2
bak	2
tel	2
mdf	2
olo	2
arb	30
sel	2
ess	6
abk	4
sms	1
pes	5
smn	2
ddo	44
smj	1
sme	1
evn	3
sma	1
tur	2
rus	13
lez	36
ket	37
ekk	42
vep	2
gle	19
krl	2
isl	3
sjd	1
uzn	2
kat	30
por	2
pol	13
bre	12
koi	34
fra	31
yrk	15
che	25
swe	3
ukr	13
xal	2
heb	23
kor	5
chv	2
hun	29
bul	13
bua	2
cym	12
udm	34
azj	2
ben	3
bel	13
slv	13
deu	3
cat	2
ain	8
slk	13
tat	2
sah	46
jpn	43
myv	2
khk	2
lbe	7
tam	35
spa	17
ava	5
enf	22
eng	3
lit	4
liv	42
nio	9
kan	3
kal	24
sqi	39
bsk	20
lat	33
kaz	2
lav	4
niv	28
mal	3
ckt	45
mrj	13
