brennen::V
itl	46
ron	20
oss	14
mns	9
ita	20
nld	7
mnc	31
vep	1
hrv	18
ady	14
hin	12
fin	1
eus	4
kmr	14
ale	13
kca	23
dan	7
ces	18
dar	35
nor	7
pbu	6
cmn	42
hye	30
kpv	14
ykg	1
mhr	10
bak	12
tel	1
mdf	1
olo	1
arb	19
sel	27
ess	5
abk	1
sms	1
pes	29
smn	1
ddo	3
smj	1
sme	1
evn	22
sma	1
tur	12
rus	18
lez	2
ket	36
yux	1
ekk	1
ell	26
gld	22
gle	25
krl	1
isl	7
sjd	1
uzn	12
kat	40
por	20
pol	1
bre	22
koi	14
fra	28
yrk	32
che	22
swe	7
ukr	18
xal	4
chv	14
kor	17
heb	34
hun	45
bul	18
bua	4
cym	41
udm	12
azj	12
ben	4
bel	18
slv	18
deu	7
cat	15
ain	43
slk	1
tat	12
sah	11
jpn	20
myv	1
khk	4
lbe	8
spa	15
tam	20
ava	33
enf	37
eng	7
lit	22
liv	1
nio	42
kan	44
kal	21
sqi	25
bsk	38
lat	20
kaz	12
lav	22
mal	4
ckt	39
mrj	10
