bunt::A
itl	2
ron	12
oss	39
mns	10
ita	3
nld	32
mnc	49
vep	1
hrv	15
ady	6
hin	13
fin	1
eus	12
smj	1
kca	10
dan	18
ces	3
dar	6
nor	18
pbu	4
cmn	9
hye	19
kpv	15
ykg	45
mhr	6
bak	6
tel	2
mdf	24
olo	1
arb	7
sel	1
ess	1
abk	42
sms	26
pes	4
smn	1
ddo	11
kmr	4
sme	44
evn	38
tur	2
rus	3
lez	9
ket	15
ekk	1
ell	48
gld	6
gle	43
krl	1
isl	34
sjd	1
uzn	6
kat	2
por	12
pol	3
bre	25
koi	13
fra	40
yrk	3
che	21
swe	18
ukr	3
xal	6
heb	16
kor	5
chv	17
hun	47
bul	15
bua	9
cym	46
udm	12
azj	6
ben	13
bel	3
slv	28
deu	32
cat	40
ain	37
slk	3
tat	17
sah	15
jpn	41
myv	24
khk	15
lbe	50
spa	40
tam	50
ava	31
enf	3
eng	12
lit	20
liv	1
nio	34
kan	33
sqi	26
bsk	39
lat	27
kaz	35
lav	36
niv	8
mal	22
ckt	2
mrj	6
