dann::ADV
itl	27
ron	7
oss	5
mns	41
ita	25
nld	1
mnc	33
ell	20
hrv	16
ady	15
nor	29
fin	5
eus	9
kmr	10
ale	40
kca	42
dan	29
ces	16
dar	35
hin	14
pbu	39
cmn	34
hye	17
kpv	21
ykg	20
mhr	21
bak	9
tel	28
mdf	3
olo	5
arb	6
sel	1
ess	32
abk	8
sms	1
pes	10
smn	14
ddo	13
smj	7
sme	14
evn	30
sma	14
tur	8
rus	16
lez	7
ket	19
yux	24
ekk	5
vep	5
gld	14
gle	12
krl	5
isl	5
sjd	14
uzn	8
bsk	37
por	26
pol	16
bre	14
koi	21
fra	5
yrk	30
che	8
swe	1
ukr	16
xal	14
chv	9
kor	31
heb	4
hun	32
bul	26
bua	15
cym	28
udm	21
azj	9
ben	32
bel	16
slv	17
deu	1
cat	10
ain	14
slk	16
tat	8
sah	8
jpn	18
myv	3
khk	15
lbe	25
tam	28
spa	38
ava	24
enf	8
eng	1
lit	16
liv	5
nio	14
kan	19
kal	26
sqi	10
kat	3
lat	1
kaz	22
lav	30
mal	7
ckt	8
mrj	2
