dicht::A
itl	18
ron	1
oss	44
mns	26
ita	1
nld	20
mnc	45
ell	33
hrv	4
ady	46
ess	47
hin	7
fin	22
eus	12
smj	11
ale	21
kca	11
dan	20
ces	4
dar	8
nor	20
pbu	7
cmn	37
hye	27
evn	35
mhr	10
bak	15
tel	38
mdf	21
olo	3
arb	24
sel	15
ykg	17
abk	34
sms	4
pes	29
smn	30
ddo	6
kmr	28
sme	3
sma	3
tur	11
kpv	11
rus	4
lez	42
ket	4
yux	13
ekk	3
vep	3
gld	11
gle	1
krl	3
isl	3
sjd	22
uzn	15
por	1
pol	4
bre	32
koi	11
fra	1
yrk	26
che	4
swe	20
ukr	4
xal	10
heb	9
kor	16
chv	40
hun	12
bul	4
bua	21
cym	1
udm	49
azj	11
ben	7
bel	4
slv	4
deu	20
cat	1
slk	4
tat	15
sah	15
jpn	4
myv	4
khk	29
lbe	4
spa	1
tam	38
ava	43
enf	13
eng	1
lit	1
liv	7
nio	23
kan	20
kal	13
sqi	1
kat	48
lat	1
kaz	2
lav	39
mal	5
ckt	14
mrj	12
