dies::PRN
ron	3
oss	21
ale	11
ita	19
nld	16
mnc	7
ell	3
hrv	3
ady	15
nor	16
fin	12
eus	4
kmr	22
mns	3
dan	16
ces	16
hin	3
pbu	3
cmn	19
hye	21
kpv	3
ykg	3
mhr	3
bak	1
tel	3
mdf	3
olo	12
arb	4
sel	8
ess	8
abk	5
sms	16
pes	2
smn	16
ddo	3
smj	16
sme	3
evn	3
sma	16
tur	13
rus	3
lez	6
ket	9
yux	3
ekk	14
vep	17
gld	21
gle	1
krl	12
isl	16
sjd	16
uzn	1
kat	10
por	3
pol	3
bre	4
koi	3
fra	10
yrk	3
che	6
swe	16
ukr	17
xal	2
heb	14
kor	6
chv	9
hun	18
bul	3
bua	2
cym	2
udm	3
azj	13
ben	3
bel	3
slv	3
deu	10
cat	10
ain	12
slk	16
tat	13
sah	3
jpn	5
myv	3
khk	2
lbe	2
spa	3
tam	3
ava	4
enf	9
eng	10
lit	10
liv	3
nio	16
kan	6
kal	8
sqi	9
bsk	14
lat	4
kaz	13
lav	10
niv	3
mal	3
ckt	11
mrj	3
