dünn::A
itl	52
ron	4
oss	6
mns	46
ita	4
nld	6
mnc	37
ell	12
hrv	6
ady	7
nor	6
fin	10
eus	39
smj	42
ale	51
kca	15
dan	6
ces	6
dar	26
hin	45
pbu	23
cmn	7
hye	45
kpv	15
ykg	33
mhr	18
bak	20
tel	12
mdf	33
olo	10
arb	24
sel	33
ess	38
sms	17
pes	25
smn	17
ddo	37
kmr	34
sme	42
evn	40
sma	22
tur	5
rus	6
lez	9
ket	32
yux	21
ekk	10
vep	10
gld	28
gle	6
krl	10
isl	6
sjd	19
uzn	11
kat	48
por	1
pol	6
bre	39
koi	15
fra	31
yrk	28
che	30
swe	6
ukr	6
xal	28
chv	5
kor	53
heb	6
hun	18
bul	6
bua	28
cym	6
udm	18
azj	25
ben	19
bel	6
slv	6
deu	6
cat	27
ain	41
slk	6
tat	11
sah	19
jpn	50
myv	33
khk	28
lbe	26
tam	49
spa	47
ava	8
enf	30
eng	6
lit	12
liv	16
nio	2
kan	1
kal	36
sqi	10
bsk	29
lat	6
kaz	20
lav	12
niv	11
mal	39
ckt	43
mrj	18
