einladen::V
ron	6
oss	29
mns	20
ita	6
nld	41
mnc	19
ell	30
hrv	4
ady	12
hin	30
fin	11
eus	6
kmr	13
ale	25
kca	4
dan	6
ces	4
dar	6
nor	6
pbu	53
cmn	48
hye	36
kpv	3
mhr	35
bak	7
tel	22
mdf	26
olo	1
arb	5
sel	28
ess	32
abk	5
sms	1
pes	13
smn	1
ddo	17
smj	6
sme	4
evn	8
sma	23
tur	13
rus	2
lez	24
ekk	11
vep	11
gld	50
gle	51
krl	1
isl	14
sjd	1
uzn	47
kat	53
por	6
pol	2
bre	23
koi	3
fra	6
yrk	38
che	28
swe	6
ukr	2
xal	25
heb	44
kor	21
chv	46
hun	52
bul	30
bua	25
cym	1
udm	18
azj	13
ben	45
bel	2
slv	4
deu	41
cat	6
ain	39
slk	4
tat	7
sah	15
jpn	7
myv	26
khk	25
lbe	43
tam	16
spa	6
ava	49
enf	11
eng	6
lit	4
liv	11
nio	23
kan	22
kal	28
sqi	42
bsk	28
lat	6
kaz	7
lav	33
niv	27
mal	37
ckt	31
mrj	35
