ergreifen::V
itl	48
ron	70
oss	20
mns	47
ita	75
nld	3
mnc	74
vep	6
hrv	8
ady	35
nor	3
fin	42
eus	42
kmr	59
ale	58
kca	62
dan	3
ces	11
dar	31
hin	64
pbu	43
cmn	55
hye	53
evn	33
ykg	9
mhr	50
bak	5
tel	73
mdf	2
olo	42
arb	57
sel	41
ess	14
sms	16
pes	26
smn	37
ddo	10
smj	69
sme	18
sma	18
tur	1
kpv	23
rus	8
lez	63
yux	68
ekk	65
ell	17
gld	22
gle	12
krl	50
isl	3
sjd	66
uzn	1
bsk	67
por	22
pol	46
bre	54
koi	8
fra	36
yrk	72
che	51
swe	3
ukr	11
xal	22
chv	1
kor	40
heb	4
hun	61
bul	8
bua	52
cym	15
udm	23
azj	1
ben	32
bel	11
slv	3
deu	26
cat	34
ain	54
slk	11
tat	9
sah	1
jpn	38
myv	23
khk	14
lbe	35
tam	22
spa	54
ava	19
enf	56
eng	28
lit	40
liv	17
nio	23
kan	60
kal	11
sqi	29
kat	27
lat	11
kaz	45
lav	49
mal	24
ckt	71
mrj	8
