erscheinen::V
ron	6
oss	44
ale	30
ita	6
nld	62
mnc	38
vep	13
hrv	4
ady	52
ess	60
nor	26
fin	8
eus	63
smj	33
mns	42
kca	33
dan	3
ces	4
dar	18
hin	37
pbu	19
cmn	27
hye	41
kpv	22
mhr	63
bak	45
tel	49
mdf	59
olo	8
arb	52
sel	43
ykg	21
abk	39
sms	56
pes	12
smn	8
ddo	10
kmr	29
sme	53
evn	38
sma	9
tur	2
rus	4
lez	48
ket	7
yux	27
ekk	58
ell	32
gle	15
krl	8
isl	25
sjd	33
uzn	1
kat	54
por	6
pol	4
bre	24
koi	22
fra	6
yrk	34
che	19
swe	3
ukr	4
xal	57
heb	61
kor	35
chv	47
hun	50
bul	4
bua	23
cym	46
udm	22
azj	2
ben	7
bel	4
slv	4
deu	44
cat	6
ain	36
slk	4
tat	29
sah	11
jpn	17
myv	28
khk	57
lbe	36
spa	6
tam	15
ava	10
enf	13
eng	6
lit	4
liv	5
nio	34
kan	15
kal	18
sqi	14
bsk	15
lat	6
kaz	11
lav	4
niv	13
mal	16
ckt	50
mrj	55
