fest::A
itl	4
ron	7
oss	24
ale	30
ita	18
nld	16
mnc	2
ell	7
hrv	16
ady	14
hin	50
fin	3
eus	39
kmr	36
mns	32
kca	32
dan	16
ces	35
dar	34
nor	16
hye	14
pbu	39
cmn	2
kpv	5
evn	1
mhr	38
bak	42
tel	6
mdf	19
olo	3
arb	1
sel	46
ess	10
abk	8
sms	22
pes	49
smn	22
ddo	3
smj	47
sme	22
sma	22
tur	18
rus	37
lez	19
ket	14
yux	16
ekk	45
vep	57
gld	41
gle	26
krl	3
isl	16
sjd	9
uzn	11
kat	20
por	24
pol	1
bre	15
koi	37
fra	18
yrk	40
che	13
swe	16
ukr	1
xal	14
heb	1
kor	2
chv	7
hun	18
bul	14
bua	21
cym	11
udm	52
azj	49
ben	53
bel	1
slv	7
deu	16
cat	18
ain	28
slk	35
tat	42
sah	21
jpn	11
myv	19
khk	2
lbe	44
spa	18
tam	25
ava	55
enf	33
eng	24
lit	15
liv	12
nio	26
kan	17
kal	29
sqi	24
bsk	18
lat	18
kaz	56
lav	48
niv	7
mal	51
ckt	31
mrj	38
