fließen::V
itl	22
ron	2
oss	12
mns	36
ita	6
nld	20
mnc	14
ell	32
hrv	3
ady	30
hin	16
fin	20
eus	43
smj	1
ale	46
kca	47
dan	6
ces	21
nor	6
pbu	19
cmn	6
hye	35
kpv	16
mhr	13
bak	12
tel	15
mdf	30
olo	39
arb	11
sel	51
ess	45
abk	52
sms	1
pes	29
smn	1
kmr	4
sme	1
evn	14
sma	1
tur	9
rus	3
lez	12
ket	53
yux	42
ekk	20
vep	20
gld	14
gle	33
krl	20
isl	6
sjd	1
uzn	45
bsk	9
por	6
pol	40
bre	18
koi	16
fra	1
yrk	44
che	8
swe	6
ukr	28
xal	26
chv	10
kor	34
heb	9
hun	6
bul	28
bua	1
cym	50
udm	16
azj	9
ben	30
bel	3
slv	3
deu	6
cat	6
ain	17
slk	21
tat	12
sah	25
jpn	2
myv	30
khk	26
lbe	41
tam	7
spa	6
ava	48
enf	49
eng	6
lit	28
liv	11
nio	20
kan	4
sqi	5
kat	30
lat	31
kaz	12
lav	21
mal	1
ckt	24
mrj	13
