frisch::A
itl	6
ron	15
oss	33
mns	37
ita	15
nld	15
mnc	30
vep	24
hrv	6
ady	18
hin	14
fin	14
eus	15
kmr	14
ale	18
kca	8
dan	15
ces	6
dar	14
nor	15
hye	14
pbu	3
cmn	4
evn	25
kpv	7
mhr	6
bak	12
tel	3
mdf	6
olo	1
arb	3
sel	16
abk	22
sms	1
pes	3
smn	1
smj	1
sme	1
sma	15
tur	3
rus	6
lez	13
ekk	1
ell	36
gld	2
gle	15
krl	1
isl	15
sjd	1
uzn	3
kat	10
por	15
pol	6
bre	15
koi	7
fra	15
yrk	19
che	17
swe	15
ukr	6
xal	2
chv	27
kor	4
heb	14
hun	39
bul	6
bua	4
cym	31
udm	7
azj	3
ben	3
bel	6
slv	6
deu	15
cat	15
slk	6
tat	12
sah	1
jpn	4
myv	6
khk	17
lbe	27
tam	5
spa	15
ava	21
enf	3
eng	15
lit	6
liv	15
nio	11
kan	28
sqi	14
bsk	29
lat	15
kaz	38
lav	6
niv	3
mal	35
ckt	23
mrj	40
