geizig::A
itl	31
ron	24
oss	3
mns	26
ita	9
nld	2
mnc	47
vep	24
hrv	26
ady	22
nor	2
fin	14
eus	40
smj	10
ale	31
kca	26
dan	2
ces	45
hin	57
pbu	1
cmn	44
hye	3
kpv	62
mhr	43
bak	36
tel	19
mdf	64
olo	16
arb	1
sel	42
ykg	21
abk	58
sms	3
pes	10
smn	3
ddo	1
kmr	53
sme	3
evn	67
sma	59
tur	2
rus	20
lez	4
ket	60
yux	20
ekk	16
ell	15
gld	3
gle	50
krl	3
isl	26
sjd	36
uzn	28
kat	65
por	9
pol	8
kaz	36
bre	56
koi	6
fra	9
yrk	6
che	35
swe	2
ukr	8
xal	18
heb	3
kor	40
chv	22
hun	34
bul	13
bua	2
cym	66
udm	41
azj	10
ben	52
bel	16
slv	26
deu	3
cat	9
ain	49
slk	45
tat	36
sah	31
jpn	3
myv	8
khk	2
lbe	17
spa	9
tam	30
ava	28
enf	39
eng	61
lit	37
liv	27
nio	55
kan	47
kal	38
sqi	51
bsk	7
lat	9
ess	63
lav	37
niv	54
mal	19
ckt	48
mrj	41
