gelb::A
itl	3
ron	2
oss	36
mns	17
ita	3
nld	2
mnc	33
ell	30
hrv	3
ady	14
nor	2
fin	1
eus	5
smj	6
ale	24
kca	10
dan	2
ces	3
dar	41
hin	8
pbu	25
cmn	43
hye	4
kpv	15
mhr	5
bak	5
tel	22
mdf	14
olo	1
arb	5
sel	3
ess	27
abk	31
sms	6
pes	8
smn	6
ddo	29
kmr	8
sme	6
evn	5
sma	6
tur	5
rus	3
lez	26
ket	3
yux	40
ekk	1
vep	28
gld	21
gle	15
krl	1
isl	1
sjd	35
uzn	5
kat	42
por	20
pol	3
kaz	5
bre	23
koi	15
fra	3
yrk	11
che	14
swe	2
ukr	3
xal	5
heb	9
kor	32
chv	5
hun	5
bul	3
bua	5
cym	23
udm	14
azj	5
ben	12
bel	3
slv	23
deu	2
cat	43
ain	5
slk	3
tat	5
sah	11
jpn	19
myv	14
khk	5
lbe	7
tam	13
spa	20
ava	9
enf	11
eng	38
lit	1
liv	19
nio	39
kan	12
kal	5
sqi	19
bsk	5
lat	16
ykg	37
lav	1
mal	34
ckt	18
mrj	5
