genesen::V
ron	42
oss	8
mns	19
ita	23
nld	5
mnc	27
ell	37
hrv	2
ady	33
hin	35
fin	14
eus	75
smj	46
ale	62
kca	20
dan	44
ces	2
dar	30
nor	44
pbu	58
cmn	38
hye	56
kpv	25
mhr	45
bak	39
tel	17
mdf	40
olo	1
arb	61
sel	34
ykg	18
abk	41
sms	14
pes	59
smn	14
ddo	11
kmr	26
sme	25
evn	27
sma	21
tur	48
rus	2
lez	8
ket	47
ekk	14
vep	51
gle	21
krl	1
isl	53
sjd	25
uzn	60
por	43
pol	2
bre	1
koi	25
fra	34
yrk	49
che	22
swe	53
ukr	46
xal	52
chv	21
kor	63
heb	23
hun	32
bul	2
bua	18
cym	73
udm	25
azj	8
ben	28
bel	2
slv	2
deu	5
cat	36
ain	74
slk	2
tat	49
sah	54
jpn	24
myv	40
khk	16
lbe	8
tam	68
spa	65
ava	7
enf	70
eng	75
lit	71
liv	67
nio	3
kan	57
kal	50
sqi	72
kat	9
lat	43
kaz	13
lav	55
mal	69
ckt	66
mrj	1
