glänzen::V
itl	55
ron	6
oss	28
ale	30
ita	32
nld	52
mnc	24
ell	1
hrv	25
ady	28
hin	43
fin	10
eus	44
kmr	20
mns	47
kca	3
dan	11
ces	8
dar	50
nor	14
pbu	41
cmn	61
hye	63
kpv	33
ykg	62
mhr	36
bak	4
tel	23
mdf	17
olo	31
arb	24
sel	43
ess	7
abk	9
sms	18
pes	35
smn	10
ddo	27
smj	2
sme	10
evn	11
sma	34
tur	42
rus	3
lez	9
ket	56
ekk	31
vep	37
gld	10
gle	3
krl	10
isl	24
sjd	19
uzn	42
kat	20
por	38
pol	3
bre	21
koi	33
fra	38
yrk	25
che	24
swe	31
ukr	3
xal	11
chv	14
kor	46
heb	54
hun	48
bul	37
bua	29
cym	57
udm	43
azj	42
ben	13
bel	3
slv	25
deu	11
cat	32
ain	59
slk	25
tat	4
sah	39
jpn	40
myv	17
khk	11
lbe	28
tam	63
spa	38
ava	51
enf	38
eng	14
lit	3
liv	10
nio	49
kan	12
kal	60
sqi	58
bsk	24
lat	32
kaz	4
lav	3
niv	6
mal	12
ckt	53
mrj	36
