grün::A
itl	48
ron	1
oss	51
mns	9
ita	1
nld	11
mnc	5
ell	17
hrv	2
ady	17
hin	39
fin	1
eus	33
kmr	8
ale	38
kca	45
dan	11
ces	2
dar	8
nor	11
hye	17
pbu	11
cmn	47
evn	29
kpv	40
ykg	42
mhr	18
bak	13
tel	44
mdf	54
olo	26
arb	11
sel	23
ess	28
abk	1
sms	17
pes	34
smn	17
ddo	13
smj	17
sme	17
sma	17
tur	13
rus	2
lez	6
ket	37
yux	5
ekk	17
vep	26
gld	5
gle	17
krl	26
isl	11
sjd	17
uzn	13
kat	52
por	1
pol	2
bre	1
koi	40
fra	1
yrk	30
che	1
swe	11
ukr	2
xal	35
chv	41
kor	49
heb	53
hun	2
bul	2
bua	5
cym	15
udm	40
azj	13
ben	32
bel	2
slv	2
deu	11
cat	1
ain	8
slk	2
tat	13
sah	7
jpn	20
myv	14
khk	5
lbe	8
spa	1
tam	44
ava	17
enf	4
eng	11
lit	2
liv	46
nio	36
kan	31
kal	21
sqi	50
bsk	8
lat	1
kaz	13
lav	2
niv	2
mal	10
ckt	55
mrj	18
