heute::ADV
itl	37
ron	8
oss	7
ale	1
ita	25
nld	15
mnc	3
ell	13
hrv	9
ady	23
ess	39
hin	29
fin	17
eus	28
kmr	2
mns	20
kca	20
dan	4
ces	9
dar	24
nor	4
pbu	17
cmn	16
hye	33
kpv	34
mhr	11
bak	7
tel	15
mdf	11
olo	17
arb	1
sel	11
ykg	42
abk	24
sms	36
pes	32
smn	9
ddo	18
smj	9
sme	9
evn	13
sma	17
tur	7
rus	9
lez	38
ket	3
yux	9
ekk	17
vep	36
gld	2
gle	2
krl	17
isl	4
sjd	26
uzn	7
kat	9
por	25
pol	22
bre	42
koi	34
fra	25
yrk	12
che	7
swe	4
ukr	9
xal	2
chv	10
kor	2
heb	1
hun	14
bul	9
bua	2
cym	15
udm	9
azj	7
ben	29
bel	9
slv	9
deu	15
cat	21
ain	17
slk	9
tat	7
sah	7
jpn	35
myv	11
khk	2
lbe	2
tam	2
spa	25
ava	18
enf	41
eng	11
lit	6
liv	36
nio	31
kan	40
kal	1
sqi	19
bsk	5
lat	15
kaz	7
lav	6
niv	27
mal	2
ckt	30
mrj	11
