hinfallen::V
itl	12
ron	9
oss	26
mns	25
ita	9
nld	5
mnc	7
ell	3
hrv	2
ady	34
nor	55
fin	2
eus	39
smj	48
ale	27
kca	2
ces	21
dar	9
hin	53
pbu	20
cmn	24
hye	35
kpv	40
mhr	44
bak	28
tel	49
mdf	14
olo	1
arb	32
sel	37
ykg	6
abk	32
sms	36
pes	57
smn	43
ddo	5
kmr	9
sme	27
evn	35
sma	16
tur	30
rus	2
lez	37
ket	41
yux	18
ekk	15
vep	1
gld	45
gle	24
krl	2
isl	24
sjd	10
uzn	27
por	9
pol	2
bre	4
koi	44
fra	50
yrk	23
che	3
swe	46
ukr	2
xal	6
heb	31
kor	33
chv	51
hun	6
bul	21
bua	6
cym	2
udm	40
azj	27
ben	8
bel	2
slv	2
deu	31
cat	9
ain	17
slk	21
tat	28
sah	29
jpn	47
myv	8
khk	13
lbe	34
spa	9
tam	5
ava	18
enf	22
eng	50
lit	2
liv	15
nio	56
kan	5
sqi	42
kat	19
lat	9
kaz	52
lav	2
niv	3
mal	5
ckt	3
mrj	4
