jagen::V
itl	23
ron	6
oss	17
mns	25
ita	14
nld	22
mnc	11
ell	31
hrv	12
ady	22
ess	5
hin	28
fin	1
eus	33
kmr	49
ale	32
kca	12
dan	22
ces	34
dar	42
nor	22
pbu	28
cmn	18
hye	6
kpv	13
mhr	35
bak	20
tel	3
mdf	16
olo	1
arb	36
sel	35
ykg	45
abk	28
sms	1
pes	28
smn	1
smj	2
sme	12
evn	44
sma	4
tur	8
rus	46
lez	21
ket	30
yux	15
ekk	22
vep	1
gld	44
gle	40
krl	1
isl	24
sjd	1
uzn	8
kat	39
por	14
pol	12
bre	26
koi	6
fra	26
yrk	50
che	18
swe	22
ukr	12
xal	5
chv	35
kor	37
heb	1
hun	50
bul	9
bua	5
cym	41
udm	13
azj	8
ben	28
bel	12
slv	12
deu	22
cat	14
ain	38
slk	12
tat	20
sah	36
jpn	14
myv	16
khk	5
lbe	8
tam	3
spa	14
ava	27
enf	16
eng	34
lit	2
liv	22
nio	36
kan	3
kal	48
sqi	43
bsk	10
lat	6
kaz	20
lav	2
niv	7
mal	3
ckt	47
mrj	29
