kleben::V
itl	2
ron	6
oss	45
ale	7
ita	1
nld	23
mnc	6
vep	16
hrv	6
ady	34
nor	55
fin	17
eus	36
smj	39
mns	3
kca	26
dan	55
ces	6
dar	15
hin	8
pbu	4
cmn	8
hye	49
kpv	23
mhr	16
bak	9
tel	27
mdf	22
olo	16
arb	57
sel	11
ess	10
abk	19
sms	17
pes	48
smn	35
ddo	12
kmr	59
sme	17
evn	52
sma	5
tur	9
rus	16
lez	29
ket	7
yux	28
ekk	6
ell	1
gld	38
gle	56
krl	17
isl	17
sjd	5
uzn	9
por	1
pol	16
bre	30
koi	23
fra	1
yrk	32
che	28
swe	55
ukr	16
xal	5
heb	43
kor	53
chv	9
hun	20
bul	6
bua	5
cym	16
udm	23
azj	9
ben	9
bel	16
slv	6
deu	16
cat	46
ain	54
slk	6
tat	9
sah	17
jpn	29
myv	22
khk	5
lbe	40
tam	28
spa	1
ava	47
enf	21
eng	16
lit	16
liv	6
nio	35
kan	51
kal	58
sqi	31
kat	18
lat	42
kaz	37
lav	6
niv	41
mal	27
ckt	50
mrj	16
