klein::A
itl	9
ron	13
oss	34
mns	3
ita	1
nld	9
mnc	1
vep	1
hrv	3
ady	5
hin	33
fin	1
eus	5
smj	11
ale	32
kca	31
dan	9
ces	3
dar	20
nor	9
pbu	40
cmn	36
hye	4
kpv	22
ykg	29
mhr	21
bak	20
tel	1
mdf	16
olo	1
arb	38
sel	17
ess	39
abk	35
sms	19
pes	5
smn	11
ddo	6
kmr	5
sme	12
evn	29
sma	19
tur	5
rus	3
lez	5
ket	27
yux	28
ekk	20
ell	13
gld	5
gle	24
krl	1
isl	9
sjd	11
uzn	5
kat	25
por	1
pol	3
bre	1
koi	5
fra	4
yrk	4
che	5
swe	9
ukr	3
xal	1
chv	5
kor	8
heb	9
hun	1
bul	26
bua	20
cym	6
udm	1
azj	5
ben	22
bel	3
slv	3
deu	9
cat	4
ain	1
slk	3
tat	5
sah	7
jpn	15
myv	20
khk	8
lbe	15
spa	1
tam	37
ava	18
enf	24
eng	9
lit	19
liv	1
nio	2
kan	4
kal	13
sqi	34
bsk	1
lat	23
kaz	14
lav	19
niv	13
mal	37
ckt	30
mrj	21
