klingeln::V
itl	2
ron	28
oss	50
ale	51
ita	28
nld	32
mnc	57
ell	48
hrv	2
ady	53
nor	6
fin	17
eus	33
smj	44
mns	54
kca	11
dan	6
ces	2
dar	47
hin	35
pbu	5
cmn	20
hye	30
kpv	2
mhr	43
bak	42
tel	46
mdf	19
olo	17
arb	16
sel	6
ess	3
abk	22
sms	17
pes	5
smn	59
kmr	5
sme	21
evn	45
sma	49
tur	27
rus	2
lez	5
ket	16
yux	31
ekk	56
vep	14
gld	25
gle	32
krl	17
isl	6
sjd	2
uzn	6
bsk	58
por	9
pol	2
koi	5
fra	28
yrk	37
che	16
swe	6
ukr	2
xal	23
chv	12
kor	4
heb	39
hun	5
bul	2
bua	1
cym	20
udm	5
azj	27
ben	35
bel	2
slv	2
deu	6
cat	9
slk	2
tat	42
sah	15
jpn	38
myv	8
khk	9
lbe	5
tam	2
spa	34
ava	24
enf	7
eng	6
lit	18
liv	2
nio	25
kan	52
kal	55
sqi	10
kat	41
lat	29
kaz	60
lav	2
mal	40
ckt	13
mrj	26
