klirren::V
ron	14
oss	46
mns	17
ita	8
nld	16
mnc	44
ell	35
hrv	7
nor	10
fin	10
eus	8
smj	27
ale	49
dan	10
ces	30
hin	18
pbu	7
hye	21
kpv	3
mhr	11
bak	11
tel	12
mdf	22
olo	10
arb	43
sel	15
abk	28
sms	27
pes	5
smn	32
ddo	45
kmr	14
sme	10
evn	10
sma	10
tur	2
rus	7
lez	14
ekk	10
vep	31
gle	4
krl	10
isl	27
sjd	32
uzn	15
kat	13
por	8
pol	26
bre	19
koi	3
fra	10
yrk	48
che	36
swe	10
ukr	7
xal	20
chv	27
kor	38
heb	10
hun	44
bul	16
bua	9
cym	8
udm	3
azj	39
ben	6
bel	47
slv	7
deu	10
cat	19
ain	16
slk	30
tat	11
sah	29
jpn	41
myv	11
khk	9
tam	1
spa	8
ava	42
enf	34
eng	24
lit	7
liv	23
kan	33
sqi	40
bsk	2
lat	37
kaz	27
lav	20
mal	1
mrj	9
