klug::A
ron	38
oss	13
mns	9
ita	11
nld	56
mnc	32
vep	6
hrv	35
ady	20
hin	41
fin	6
eus	8
kmr	20
ale	59
kca	45
dan	1
ces	23
dar	40
nor	1
pbu	4
cmn	9
hye	6
evn	25
ykg	42
mhr	45
bak	20
tel	44
mdf	47
olo	51
arb	20
sel	48
ess	12
abk	20
sms	23
pes	20
smn	2
ddo	20
smj	51
sme	6
sma	57
tur	20
kpv	39
rus	3
lez	20
ket	49
yux	27
ekk	64
ell	63
gld	46
gle	11
krl	6
isl	61
sjd	52
uzn	20
bsk	4
por	11
pol	13
bre	54
koi	39
fra	11
yrk	60
che	20
swe	1
ukr	13
xal	43
heb	15
chv	20
hun	34
bul	3
bua	43
cym	6
udm	51
azj	20
ben	34
bel	3
slv	3
deu	1
cat	11
ain	3
slk	23
tat	20
sah	50
jpn	36
myv	30
khk	9
lbe	20
spa	55
tam	36
ava	3
enf	53
eng	1
lit	3
liv	33
nio	29
kan	36
kal	18
sqi	3
kat	17
lat	14
kaz	20
lav	58
mal	24
ckt	62
mrj	45
