krank::A
ron	11
oss	12
mns	4
ita	31
nld	13
mnc	47
vep	7
hrv	11
ady	5
hin	15
fin	51
eus	65
smj	51
ale	53
kca	43
dan	13
ces	1
dar	46
nor	13
pbu	69
cmn	4
hye	49
kpv	10
mhr	18
bak	18
tel	40
mdf	2
olo	19
arb	14
sel	57
ykg	48
abk	27
sms	28
pes	14
smn	28
ddo	11
kmr	56
sme	28
evn	52
sma	25
tur	26
rus	11
lez	67
ket	4
yux	46
ekk	33
ell	6
gld	52
gle	72
krl	41
isl	20
sjd	66
uzn	24
bsk	15
por	35
pol	9
kaz	24
bre	58
koi	65
fra	31
yrk	37
che	63
swe	13
ukr	8
xal	70
heb	11
kor	64
chv	18
hun	36
bul	11
bua	4
cym	44
udm	10
azj	26
ben	6
bel	9
slv	11
deu	42
cat	31
ain	34
slk	9
tat	2
sah	17
jpn	32
myv	2
khk	50
lbe	30
tam	21
spa	29
ava	61
enf	24
eng	13
lit	54
liv	60
nio	55
kan	6
kal	38
sqi	5
kat	46
lat	33
ess	62
lav	46
niv	71
mal	16
ckt	45
mrj	18
