kriechen::V
itl	36
ron	7
oss	26
ale	58
ita	7
nld	15
mnc	15
ell	20
hrv	2
ady	10
hin	61
fin	4
eus	40
kmr	15
mns	8
kca	8
dan	15
ces	2
dar	50
nor	15
pbu	52
cmn	5
hye	9
evn	32
ykg	55
mhr	42
bak	30
tel	51
mdf	46
olo	4
arb	21
sel	28
ess	27
abk	24
sms	6
pes	41
smn	18
ddo	57
smj	18
sme	18
sma	15
tur	20
kpv	48
rus	2
lez	61
ket	47
ekk	56
vep	33
gld	45
gle	49
krl	4
isl	15
sjd	18
uzn	22
kat	21
por	7
pol	2
bre	15
koi	48
fra	3
yrk	35
che	13
swe	15
ukr	2
xal	19
chv	59
kor	15
heb	9
hun	37
bul	2
bua	19
cym	15
udm	12
azj	20
ben	11
bel	2
slv	2
deu	15
cat	53
ain	4
slk	33
tat	19
sah	9
jpn	34
myv	29
khk	19
lbe	60
spa	7
tam	25
ava	44
enf	43
eng	15
lit	3
liv	3
nio	28
kan	23
sqi	39
bsk	15
lat	3
kaz	8
lav	33
niv	17
mal	38
ckt	54
mrj	42
