können::V
itl	16
ron	7
oss	22
mns	2
ita	6
nld	1
mnc	7
ell	6
hrv	12
ady	43
nor	1
fin	24
eus	50
kmr	1
ale	11
kca	15
dan	1
ces	4
dar	46
hin	8
pbu	47
cmn	48
hye	1
kpv	1
mhr	7
bak	5
tel	5
mdf	7
olo	15
arb	41
sel	49
abk	13
sms	15
pes	21
smn	15
ddo	10
smj	15
sme	15
evn	8
sma	7
tur	30
rus	12
lez	20
ekk	15
vep	15
gld	29
gle	32
krl	15
isl	17
sjd	7
uzn	27
bsk	11
por	6
pol	23
bre	42
koi	2
fra	14
yrk	6
che	26
swe	1
ukr	7
xal	17
chv	3
kor	44
heb	35
hun	34
bul	7
bua	17
cym	5
udm	1
azj	39
ben	6
bel	23
slv	12
deu	1
cat	3
ain	24
slk	4
tat	5
sah	1
jpn	28
myv	7
khk	5
lbe	20
spa	3
tam	37
ava	15
enf	6
eng	1
lit	45
liv	15
nio	38
kan	26
sqi	11
kat	9
lat	3
kaz	5
lav	31
niv	11
mal	5
ckt	18
mrj	33
