liegen::V
itl	19
ron	22
oss	9
mns	41
ita	22
nld	21
mnc	17
ell	51
hrv	1
ady	18
nor	21
fin	26
eus	25
smj	36
ale	23
kca	17
dan	21
ces	1
dar	13
hin	17
hye	26
pbu	26
cmn	32
kpv	18
evn	17
ykg	35
mhr	37
bak	7
tel	30
mdf	46
olo	10
arb	3
sel	43
ess	12
abk	15
sms	2
pes	49
smn	36
ddo	25
kmr	30
sme	36
sma	6
tur	7
rus	1
lez	3
ket	28
yux	3
ekk	40
vep	14
gld	14
gle	1
krl	14
isl	21
sjd	2
uzn	7
kat	59
por	47
pol	1
bre	4
koi	18
fra	42
yrk	52
che	58
swe	21
ukr	1
xal	44
heb	5
kor	14
chv	60
hun	48
bul	1
bua	44
cym	11
udm	18
azj	16
ben	5
bel	1
slv	1
deu	21
cat	47
ain	56
slk	1
tat	7
sah	50
jpn	29
myv	46
khk	44
lbe	57
tam	30
spa	34
ava	54
enf	26
eng	1
lit	17
liv	21
nio	24
kan	27
kal	45
sqi	55
bsk	20
lat	15
kaz	1
lav	17
niv	20
mal	53
ckt	39
mrj	37
