müdewerden::V
ron	68
oss	12
mns	38
ita	13
nld	1
mnc	71
ell	37
hrv	16
ady	63
ess	40
hin	3
fin	5
eus	6
smj	5
ale	66
kca	54
dan	39
ces	50
dar	61
nor	39
pbu	56
cmn	21
hye	10
kpv	30
mhr	14
bak	25
tel	15
mdf	36
olo	8
arb	31
sel	47
ykg	20
abk	35
sms	69
pes	70
smn	5
ddo	33
kmr	11
sme	5
evn	11
sma	55
tur	9
rus	23
lez	65
yux	52
ekk	8
vep	62
gld	7
gle	34
krl	5
isl	2
sjd	48
uzn	42
kat	60
por	17
pol	45
bre	36
koi	30
fra	34
yrk	8
che	30
swe	3
ukr	16
xal	17
heb	32
chv	63
hun	28
bul	16
bua	35
cym	11
udm	30
azj	9
ben	24
bel	16
slv	26
deu	1
cat	17
ain	13
slk	50
tat	53
sah	15
jpn	6
myv	36
khk	9
lbe	59
tam	57
spa	34
ava	13
enf	44
eng	41
lit	4
liv	8
nio	8
kan	11
sqi	27
bsk	46
lat	34
kaz	11
lav	64
niv	21
mal	29
ckt	67
mrj	49
