nur::ADV
itl	48
ron	37
oss	43
mns	13
ita	1
nld	20
mnc	5
ell	22
hrv	1
ady	36
hin	16
fin	18
eus	8
smj	34
ale	39
kca	16
dan	22
ces	11
dar	5
nor	8
pbu	6
cmn	29
hye	30
kpv	1
mhr	22
bak	8
tel	12
mdf	32
olo	18
arb	24
sel	41
ykg	12
abk	32
sms	6
pes	4
smn	18
kmr	4
sme	6
evn	5
sma	8
tur	33
rus	5
lez	10
ket	2
yux	30
ekk	21
vep	2
gld	4
gle	18
krl	18
isl	8
sjd	6
uzn	33
bsk	23
por	1
pol	5
kaz	17
bre	40
koi	5
fra	36
yrk	35
che	32
swe	8
ukr	5
xal	17
heb	14
kor	1
chv	6
hun	29
bul	1
bua	28
cym	25
udm	22
azj	33
ben	42
bel	5
slv	1
deu	31
cat	38
ain	32
slk	20
tat	24
sah	44
jpn	5
myv	10
khk	45
lbe	10
spa	1
tam	12
ava	17
enf	3
eng	5
lit	18
liv	1
nio	5
kan	16
sqi	18
kat	30
lat	1
ess	27
lav	5
niv	8
mal	12
ckt	20
mrj	16
