rauchen::V
ron	20
oss	32
mns	31
ita	20
nld	19
mnc	53
ell	28
hrv	5
ady	45
nor	19
fin	1
eus	4
smj	40
ale	44
kca	51
dan	19
ces	13
dar	49
hin	2
hye	52
pbu	6
cmn	27
evn	35
kpv	14
mhr	26
bak	9
tel	3
mdf	10
olo	29
arb	2
sel	39
abk	33
sms	1
pes	2
smn	16
ddo	22
kmr	14
sme	16
sma	16
tur	15
rus	5
yux	12
ekk	37
vep	1
gld	20
gle	3
krl	1
isl	19
sjd	1
uzn	15
bsk	27
por	20
pol	5
bre	42
koi	14
fra	20
yrk	2
che	8
swe	19
ukr	5
xal	25
chv	41
kor	47
heb	14
hun	20
bul	5
bua	6
cym	43
udm	14
azj	15
ben	2
bel	5
slv	5
deu	38
cat	20
ain	48
slk	5
tat	9
sah	18
jpn	47
myv	10
khk	55
lbe	3
tam	21
spa	46
ava	50
enf	10
eng	24
lit	19
liv	17
nio	2
kan	21
kal	54
sqi	34
kat	18
lat	20
kaz	15
lav	5
niv	36
mal	6
ckt	30
mrj	26
