regnen::V
itl	26
ron	8
oss	44
ale	36
ita	8
nld	7
mnc	20
ell	5
hrv	34
ady	10
hin	44
fin	6
eus	32
kmr	44
mns	41
kca	2
dan	7
ces	19
dar	27
nor	7
pbu	29
cmn	16
hye	42
kpv	7
mhr	15
bak	28
tel	49
mdf	24
olo	5
arb	6
sel	6
ykg	30
abk	6
sms	4
pes	29
smn	33
smj	33
sme	33
evn	9
sma	4
tur	31
rus	2
lez	10
ket	23
yux	47
ekk	6
vep	5
gle	1
krl	5
isl	7
sjd	4
uzn	28
kat	13
por	18
pol	17
bre	8
koi	7
fra	8
yrk	38
che	39
swe	7
ukr	34
xal	3
chv	35
kor	17
heb	40
hun	1
bul	37
bua	3
cym	8
udm	7
azj	31
ben	29
bel	2
slv	2
deu	7
cat	8
ain	11
slk	19
tat	21
sah	6
jpn	48
myv	24
khk	29
lbe	50
spa	18
tam	12
ava	45
eng	7
lit	23
liv	6
nio	6
kan	6
kal	6
sqi	1
bsk	25
lat	8
kaz	22
lav	23
niv	14
mal	12
ckt	23
mrj	15
