riechen::V
itl	20
ron	18
oss	5
ale	14
ita	6
nld	31
mnc	29
ell	18
hrv	64
ady	49
hin	26
fin	17
eus	5
smj	10
mns	56
kca	6
dan	7
ces	45
dar	4
nor	7
pbu	22
cmn	53
hye	46
evn	28
mhr	64
bak	16
tel	55
mdf	40
olo	63
arb	43
sel	39
ykg	18
abk	50
sms	10
pes	24
smn	10
ddo	15
kmr	24
sme	17
sma	10
tur	60
kpv	9
rus	19
lez	9
ket	16
yux	5
ekk	63
vep	23
gle	13
krl	48
isl	61
sjd	10
uzn	58
bsk	21
por	1
pol	19
kaz	32
bre	52
koi	9
fra	6
yrk	11
che	51
swe	7
ukr	19
xal	41
chv	1
kor	36
heb	17
hun	26
bul	54
bua	41
cym	8
udm	6
azj	44
ben	26
bel	19
slv	19
deu	47
cat	38
ain	37
slk	19
tat	57
sah	38
jpn	62
myv	40
khk	41
lbe	5
spa	13
tam	34
ava	4
enf	42
eng	30
lit	2
liv	9
nio	42
kan	18
kal	59
sqi	48
kat	35
lat	13
ess	19
lav	2
niv	19
mal	25
ckt	27
mrj	64
