rudern::V
itl	54
ron	1
oss	35
ale	18
ita	2
nld	8
mnc	43
vep	12
hrv	1
ady	4
ess	50
hin	41
fin	12
eus	42
kmr	34
mns	20
kca	1
dan	8
ces	1
nor	8
pbu	56
cmn	32
hye	40
kpv	5
mhr	55
bak	23
tel	47
mdf	52
olo	12
arb	16
sel	45
ykg	24
abk	46
sms	11
pes	8
smn	12
smj	11
sme	11
evn	49
sma	11
tur	56
rus	7
lez	53
ket	23
yux	24
ekk	12
ell	48
gld	19
gle	1
krl	12
isl	8
sjd	11
uzn	36
por	2
pol	1
bre	28
koi	5
fra	2
yrk	10
che	3
swe	8
ukr	1
xal	26
chv	1
kor	13
heb	38
hun	1
bul	30
bua	9
cym	28
udm	5
azj	22
ben	39
bel	1
slv	1
deu	8
cat	2
ain	25
slk	1
tat	23
sah	7
jpn	42
myv	6
khk	29
lbe	14
tam	17
spa	2
ava	2
enf	10
eng	8
lit	7
liv	12
nio	10
kan	23
kal	21
sqi	1
kat	44
lat	2
kaz	23
lav	7
niv	37
mal	31
ckt	51
mrj	15
