sagen::V
itl	24
ron	18
oss	11
ale	20
ita	2
nld	11
mnc	30
ell	45
hrv	13
ady	27
nor	26
fin	22
eus	18
smj	4
mns	49
kca	21
dan	26
ces	38
dar	17
hin	1
pbu	9
cmn	18
hye	40
evn	30
ykg	19
mhr	35
bak	16
tel	42
mdf	31
olo	22
arb	27
sel	5
ess	8
abk	39
sms	28
pes	37
smn	3
ddo	15
kmr	37
sme	46
sma	50
tur	7
kpv	18
rus	6
lez	23
ket	27
yux	19
ekk	15
vep	22
gld	25
gle	43
krl	22
isl	26
sjd	3
uzn	16
kat	32
por	2
pol	34
bre	29
koi	1
fra	2
yrk	19
che	27
swe	11
ukr	6
xal	20
heb	10
kor	28
chv	2
hun	19
bul	6
bua	20
cym	7
udm	1
azj	7
ben	12
bel	6
slv	16
deu	11
cat	2
ain	4
slk	34
tat	16
sah	2
jpn	2
myv	31
khk	20
lbe	41
spa	2
tam	3
ava	1
enf	28
eng	26
lit	21
liv	5
nio	2
kan	20
kal	48
sqi	7
bsk	22
lat	2
kaz	2
lav	7
niv	44
mal	36
ckt	47
mrj	19
