scheinen::V
ron	21
oss	14
ale	28
ita	21
nld	18
mnc	24
ell	59
hrv	1
ady	7
hin	31
fin	23
eus	23
smj	18
mns	41
dan	14
ces	1
nor	50
pbu	22
cmn	9
hye	11
kpv	9
mhr	16
bak	38
tel	25
mdf	12
olo	23
arb	52
ykg	43
abk	16
sms	33
pes	8
smn	33
kmr	57
sme	32
evn	64
sma	32
tur	29
rus	1
ekk	2
vep	2
gle	42
krl	2
isl	13
sjd	63
uzn	38
bsk	31
por	21
pol	7
bre	51
koi	9
fra	21
yrk	17
che	47
swe	40
ukr	1
xal	15
chv	36
kor	1
heb	2
hun	18
bul	39
bua	6
cym	34
udm	22
azj	29
ben	10
bel	1
slv	1
deu	14
cat	4
ain	14
slk	1
tat	22
sah	37
jpn	54
myv	12
khk	46
lbe	31
spa	21
tam	25
enf	61
eng	4
lit	3
liv	2
nio	60
kan	30
kal	35
sqi	58
kat	26
lat	62
kaz	45
lav	48
mal	25
ckt	21
mrj	53
