schicken::V
ron	46
oss	2
mns	1
ita	17
nld	2
mnc	15
ell	2
hrv	8
ady	18
nor	2
fin	25
eus	20
kmr	2
ale	39
kca	1
dan	2
ces	9
dar	10
hin	36
pbu	2
cmn	11
hye	40
kpv	2
mhr	42
bak	26
tel	15
mdf	37
olo	5
arb	49
sel	43
abk	2
sms	28
pes	45
smn	28
ddo	31
smj	8
sme	8
evn	14
sma	8
tur	23
rus	9
lez	18
yux	33
ekk	8
vep	50
gld	18
gle	7
krl	5
isl	2
sjd	30
uzn	6
kat	21
por	17
pol	9
bre	51
koi	2
fra	13
yrk	20
che	35
swe	29
ukr	9
xal	30
chv	17
kor	38
heb	7
hun	1
bul	41
bua	30
cym	2
udm	2
azj	12
ben	44
bel	9
slv	9
deu	29
cat	17
ain	47
slk	9
tat	26
sah	19
jpn	18
myv	37
khk	30
lbe	48
spa	17
tam	15
ava	22
enf	32
eng	2
lit	8
liv	8
nio	24
kan	3
kal	16
sqi	34
bsk	8
lat	17
kaz	26
lav	8
mal	27
ckt	4
mrj	42
