schlafen::V
itl	33
ron	19
oss	27
ale	32
ita	19
nld	8
mnc	48
ell	5
hrv	8
ady	20
ess	45
nor	23
fin	3
eus	47
kmr	27
mns	28
kca	36
dan	23
ces	8
dar	48
hin	23
hye	39
pbu	37
cmn	35
evn	29
kpv	14
mhr	18
bak	24
tel	7
mdf	4
olo	2
arb	46
sel	21
ykg	23
abk	10
sms	15
pes	16
smn	25
ddo	42
smj	15
sme	25
sma	25
tur	28
rus	8
lez	23
ket	22
yux	14
ekk	2
vep	2
gld	41
gle	6
krl	2
isl	23
sjd	15
uzn	26
kat	44
por	19
pol	8
bre	30
koi	14
fra	19
yrk	11
che	40
swe	23
ukr	8
xal	12
heb	22
kor	9
chv	23
hun	36
bul	8
bua	21
cym	30
udm	39
azj	28
ben	7
bel	8
slv	8
deu	23
cat	19
ain	31
slk	8
tat	24
sah	13
jpn	7
myv	4
khk	21
lbe	23
tam	1
spa	19
ava	38
enf	6
eng	8
lit	2
liv	2
nio	21
kan	7
kal	36
sqi	17
bsk	43
lat	19
kaz	24
lav	30
niv	6
mal	1
ckt	24
mrj	18
