schleppen::V
itl	49
ron	23
oss	30
mns	24
ita	6
nld	9
mnc	10
vep	16
hrv	1
ady	30
ess	50
nor	9
fin	26
eus	28
kmr	2
ale	1
kca	1
dan	9
ces	17
hin	2
pbu	17
cmn	24
hye	2
kpv	2
mhr	15
bak	33
tel	37
mdf	7
olo	43
arb	40
sel	25
ykg	5
abk	51
sms	21
pes	2
smn	47
ddo	49
smj	9
sme	26
evn	10
sma	26
tur	4
rus	32
lez	18
ket	24
yux	6
ekk	32
ell	25
gld	19
gle	23
krl	43
isl	8
sjd	54
uzn	29
kat	20
por	28
pol	17
bre	49
koi	2
fra	6
yrk	53
che	46
swe	9
ukr	26
xal	19
chv	23
kor	25
heb	40
hun	27
bul	17
bua	52
cym	49
udm	2
azj	4
ben	6
bel	39
slv	17
deu	9
cat	8
ain	44
slk	17
tat	33
sah	7
jpn	11
myv	7
khk	19
lbe	30
spa	28
tam	38
ava	55
enf	31
eng	8
lit	17
liv	32
nio	14
kan	42
kal	13
sqi	45
bsk	34
lat	36
kaz	23
lav	22
niv	12
mal	41
ckt	48
mrj	15
