schlimm::A
ron	9
oss	10
ale	2
ita	9
nld	34
mnc	59
ell	13
hrv	43
ady	16
hin	58
fin	11
eus	23
kmr	22
mns	42
kca	21
dan	35
ces	27
dar	71
nor	35
hye	54
pbu	68
cmn	67
kpv	51
evn	54
mhr	24
bak	60
tel	44
mdf	12
olo	11
arb	9
sel	7
abk	28
sms	70
pes	3
smn	66
ddo	12
smj	11
sme	1
sma	57
tur	34
rus	58
lez	4
yux	54
ekk	11
vep	11
gld	8
gle	17
krl	11
isl	35
sjd	46
uzn	39
por	41
pol	30
bre	34
koi	21
fra	41
yrk	38
che	50
swe	32
ukr	58
xal	26
chv	14
kor	41
heb	9
hun	56
bul	64
bua	36
cym	9
udm	24
azj	40
ben	37
bel	59
slv	59
deu	35
cat	9
slk	58
tat	45
sah	1
jpn	65
myv	1
khk	68
lbe	32
spa	9
tam	48
ava	47
enf	53
eng	21
lit	55
liv	52
nio	20
kan	44
kal	49
sqi	34
kat	62
lat	5
kaz	63
lav	22
niv	32
mal	69
ckt	29
mrj	14
