schlucken::V
itl	15
ron	46
oss	18
mns	9
ita	16
nld	11
mnc	8
ell	32
hrv	36
ady	27
hin	2
fin	2
eus	38
kmr	28
ale	31
kca	42
dan	11
ces	42
dar	29
nor	11
pbu	21
cmn	24
hye	2
evn	8
ykg	41
mhr	2
bak	22
tel	48
mdf	2
olo	1
arb	19
sel	42
ess	14
abk	20
sms	2
pes	33
smn	2
ddo	7
smj	2
sme	2
sma	2
tur	22
kpv	2
rus	36
lez	6
ket	34
yux	10
ekk	2
vep	1
gld	47
gle	11
krl	2
isl	26
sjd	2
uzn	22
por	41
pol	37
bre	8
koi	2
fra	4
yrk	2
che	18
swe	11
ukr	36
xal	7
heb	7
kor	3
chv	43
hun	2
bul	17
bua	7
cym	46
udm	2
azj	22
ben	17
bel	36
slv	12
deu	11
cat	5
ain	40
slk	13
tat	22
sah	23
jpn	8
myv	2
khk	7
lbe	28
spa	49
tam	8
ava	35
enf	39
eng	11
lit	12
liv	2
nio	2
kan	8
kal	8
sqi	44
kat	21
lat	45
kaz	22
lav	30
niv	39
mal	8
ckt	49
mrj	2
