schmerzen::V
ron	22
oss	25
mns	37
ita	22
nld	25
mnc	35
ell	48
hrv	18
ady	40
hin	28
fin	24
eus	26
kmr	25
ale	58
dan	30
ces	18
dar	4
nor	14
pbu	56
cmn	43
hye	18
kpv	25
mhr	16
bak	9
tel	42
mdf	19
olo	1
arb	7
sel	13
ykg	53
abk	32
sms	57
pes	28
smn	11
ddo	18
smj	11
sme	11
evn	39
sma	24
tur	31
rus	18
lez	41
ket	38
yux	46
ekk	7
vep	1
gld	39
gle	17
krl	1
isl	54
sjd	42
uzn	31
kat	6
por	22
pol	18
bre	36
koi	25
fra	20
yrk	4
che	51
swe	14
ukr	18
xal	10
heb	15
kor	45
chv	33
hun	34
bul	18
bua	10
cym	44
udm	25
azj	31
ben	3
bel	18
slv	18
deu	30
cat	22
ain	24
slk	18
tat	9
sah	33
jpn	35
myv	19
khk	31
lbe	41
spa	22
tam	9
ava	52
enf	4
eng	5
lit	21
liv	45
nio	47
kan	12
kal	32
sqi	50
bsk	12
lat	22
kaz	9
lav	30
niv	12
mal	55
ckt	2
mrj	16
