schmutzig::A
itl	44
ron	44
oss	3
mns	32
ita	18
nld	37
mnc	65
ell	16
hrv	10
ady	13
ess	59
hin	41
fin	11
eus	3
smj	23
ale	33
kca	50
dan	30
ces	35
dar	38
nor	2
pbu	38
cmn	32
hye	8
evn	49
mhr	61
bak	55
tel	1
mdf	52
olo	11
arb	8
sel	54
ykg	11
abk	10
sms	47
pes	31
smn	23
ddo	27
kmr	11
sme	23
sma	17
tur	48
kpv	10
rus	39
lez	3
ket	2
yux	15
ekk	12
vep	52
gld	12
gle	33
krl	25
isl	61
sjd	47
uzn	8
bsk	41
por	18
pol	21
bre	24
koi	10
fra	33
yrk	45
che	34
swe	26
ukr	21
xal	8
heb	44
kor	56
chv	64
hun	48
bul	4
bua	60
cym	21
udm	42
azj	8
ben	28
bel	21
slv	4
deu	2
cat	21
ain	8
slk	35
tat	8
sah	8
jpn	46
myv	63
khk	62
lbe	38
tam	11
spa	18
ava	58
enf	42
eng	19
lit	10
liv	50
nio	65
kan	43
kal	5
sqi	41
kat	11
lat	18
kaz	51
lav	23
niv	36
mal	11
ckt	3
mrj	56
