schon::ADV
itl	18
ron	1
oss	3
ale	23
ita	16
nld	29
mnc	13
vep	12
hrv	23
ess	2
hin	21
fin	12
eus	16
kmr	39
mns	14
kca	1
dan	29
ces	9
dar	27
nor	29
pbu	26
cmn	23
hye	8
kpv	13
mhr	6
bak	6
tel	10
mdf	13
olo	12
arb	18
sel	18
ykg	6
abk	38
sms	1
pes	32
smn	12
smj	12
sme	12
evn	23
sma	12
tur	21
rus	14
lez	4
ket	18
yux	23
ekk	12
ell	6
gld	26
gle	22
krl	12
isl	31
sjd	12
uzn	6
por	14
pol	12
bre	14
koi	13
fra	14
yrk	15
che	22
swe	8
ukr	14
xal	7
chv	6
kor	2
heb	20
hun	5
bul	23
bua	14
cym	17
udm	13
azj	24
ben	28
bel	14
slv	14
deu	1
cat	14
slk	9
tat	6
sah	37
jpn	5
myv	9
khk	36
tam	11
spa	1
enf	15
eng	8
lit	12
liv	12
nio	33
kan	15
kal	34
sqi	26
kat	20
lat	25
kaz	24
lav	12
niv	35
mal	8
ckt	2
mrj	14
