schreiten::V
itl	32
ron	36
oss	64
ale	27
ita	60
nld	22
mnc	11
ell	8
hrv	16
ady	11
ess	40
hin	35
fin	4
eus	21
smj	41
mns	29
kca	54
dan	22
ces	9
dar	18
nor	22
pbu	35
cmn	56
hye	7
evn	26
mhr	10
bak	4
tel	3
mdf	10
olo	49
arb	4
sel	20
ykg	31
abk	39
sms	47
pes	44
smn	41
ddo	34
kmr	17
sme	41
sma	63
tur	48
kpv	23
rus	28
lez	20
ket	46
ekk	4
vep	4
gld	26
gle	66
krl	4
isl	29
sjd	41
uzn	48
kat	5
por	60
pol	9
bre	9
koi	23
fra	43
yrk	38
che	62
swe	22
ukr	58
xal	53
heb	30
kor	55
chv	59
hun	13
bul	9
bua	53
cym	24
udm	23
azj	15
ben	4
bel	28
slv	16
deu	22
cat	30
ain	25
slk	9
tat	4
sah	4
jpn	4
myv	10
khk	53
lbe	6
spa	37
tam	57
ava	33
enf	66
eng	36
lit	19
liv	4
nio	1
kan	42
kal	51
sqi	7
bsk	35
lat	22
kaz	35
lav	14
niv	2
mal	61
ckt	32
mrj	10
